T (K),E MD,E MC,Eq MD,Eq MC,Efic MD,Efic MC,Acept MC%
100,0.3294,0.3473,20,51,6.1,17.7,20.5
300,0.3556,0.3733,44,52,6.6,36.9,37.6
500,0.3917,0.3939,200,40,7.1,47.7,47.2
700,0.4490,0.4134,200,40,7.4,54.9,54.5
