Temperatura (K),E promedio (eV/átomo),σ_E (eV/átomo),D (Å²/fs)
100,0.3294,0.0015,-7.95e-07
300,0.3556,0.0041,1.25e-05
500,0.3917,0.0069,-1.92e-05
700,0.4490,0.0116,4.58e-05
